,kf,n,Kin,MBPT_HF,MBPT_2,MBPT_3,MBPT_4,total,Lambda,OrderEFT,Body,x,fit
0,1.13972,0.05,16.16071,-5.5666,-1.93533,0.016189999999999982,-0.031680000000000035,8.634996265302107,450,LO,NN-only,0.0,
1,1.2111299999999998,0.06,18.249370000000006,-6.53108,-2.06096,0.10348999999999996,-0.042710000000000026,9.729831918682976,450,LO,NN-only,0.0,
2,1.27499,0.07,20.22456,-7.472069999999999,-2.145,0.17956999999999995,-0.054509999999999975,10.742629667945494,450,LO,NN-only,0.0,
3,1.33302,0.08,22.10753,-8.39215,-2.19485,0.2430400000000001,-0.07415,11.694662572268953,450,LO,NN-only,0.0,
4,1.3864,0.09,23.91344,-9.29313,-2.21891,0.2968,-0.09425999999999993,12.600269662875235,450,LO,NN-only,0.0,
5,1.43595,0.1,25.65352,-10.17635,-2.22153,0.33847999999999995,-0.11647999999999994,13.469029996139398,450,LO,NN-only,0.0,
6,1.48231,0.11,27.33645,-11.04286,-2.20757,0.36954,-0.13398999999999994,14.308362368127291,450,LO,NN-only,0.0,
7,1.52593,0.12,28.96906,-11.89349,-2.18011,0.3938100000000001,-0.1464,15.123027452977567,450,LO,NN-only,0.0,
8,1.56719,0.13,30.556890000000006,-12.72891,-2.14252,0.41197,-0.16110999999999995,15.917068239021773,450,LO,NN-only,0.0,
9,1.60639,0.14,32.10448,-13.54968,-2.09665,0.4201600000000001,-0.16840000000000002,16.69350529366193,450,LO,NN-only,0.0,
10,1.64376,0.15,33.61562,-14.35631,-2.04544,0.4237500000000001,-0.1809000000000001,17.45438393053837,450,LO,NN-only,0.0,
11,1.6795,0.16,35.09352,-15.14921,-1.98944,0.4265800000000001,-0.18441,18.201474120027342,450,LO,NN-only,0.0,
12,1.71379,0.17,36.54093,-15.928770000000002,-1.93105,0.42162,-0.17727999999999994,18.936438332874786,450,LO,NN-only,0.0,
13,1.74675,0.18,37.96021,-16.695339999999998,-1.87027,0.41731999999999997,-0.19222,19.659911260467197,450,LO,NN-only,0.0,
14,1.77852,0.19,39.35344,-17.44922,-1.80916,0.40973,-0.18627,20.373178111951347,450,LO,NN-only,0.0,
15,1.80919,0.2,40.72243,-18.19074,-1.74778,0.39783,-0.18891,21.076611400067577,450,LO,NN-only,0.0,
16,1.83885,0.21,42.06877,-18.92015,-1.68608,0.38659,-0.17417000000000005,21.770739294962823,450,LO,NN-only,0.0,
17,1.86759,0.22,43.39391,-19.44539,-1.61996,0.37238000000000004,-0.17660000000000006,22.456250517903754,450,LO,NN-only,0.0,
18,1.89547,0.23,44.69911,-20.13529,-1.56056,0.35973000000000005,-0.17132999999999998,23.133260426981906,450,LO,NN-only,0.0,
19,1.92255,0.24,45.98552,-20.81353,-1.50252,0.34515999999999997,-0.16738000000000006,23.80199511885121,450,LO,NN-only,0.0,
20,1.94889,0.25,47.25419,-21.48039,-1.4461700000000002,0.33236000000000004,-0.16454999999999995,24.46279211968772,450,LO,NN-only,0.0,
21,1.97453,0.26,48.50605,-22.13611,-1.39139,0.31930000000000003,-0.15844,25.11558619021207,450,LO,NN-only,0.0,
22,1.99953,0.27,49.74195,-22.78095,-1.33836,0.30622,-0.15506999999999993,25.760911270114775,450,LO,NN-only,0.0,
23,2.02392,0.28,50.96269,-23.41515,-1.28746,0.29272,-0.14548999999999998,26.398616936389317,450,LO,NN-only,0.0,
24,2.04773,0.29,52.16898,-24.03893,-1.23842,0.27967000000000003,-0.13924000000000006,27.02861558587847,450,LO,NN-only,0.0,
25,2.071,0.3,53.36147,-24.652520000000006,-1.19147,0.26731,-0.13681,27.651150776438953,450,LO,NN-only,0.0,
26,2.09376,0.31,54.54079,-25.25615,-1.14601,0.25544999999999995,-0.13601,28.266265900419285,450,LO,NN-only,0.0,
27,2.1160400000000004,0.32,55.70749,-25.85003,-1.10276,0.24399000000000004,-0.1214,28.8740620202625,450,LO,NN-only,0.0,
28,2.13786,0.33,56.86211,-26.43437,-1.06155,0.23206,-0.11412,29.4744190915369,450,LO,NN-only,0.0,
29,2.15924,0.34,58.00511,-27.00938,-1.02167,0.22171,-0.11479,30.06726105451753,450,LO,NN-only,0.0,
30,0.90459,0.05,10.18061,-8.28301,-7.58971,-1.26699,-0.43997999999999937,-7.412128238454898,450,LO,NN-only,0.5,
31,0.96127,0.06,11.49638,-9.71307,-8.38711,-1.1588,-0.1699200000000003,-7.919078055056161,450,LO,NN-only,0.5,
32,1.01196,0.07,12.74067,-11.11012,-9.04788,-1.0377299999999998,0.06416999999999984,-8.370170460086229,450,LO,NN-only,0.5,
33,1.0580200000000002,0.08,13.92687,-12.47907,-9.59338,-0.91438,0.27315999999999896,-8.779550877829024,450,LO,NN-only,0.5,
34,1.10038,0.09,15.064520000000002,-13.823479999999998,-10.03898,-0.7909299999999999,0.42539000000000105,-9.156450963515454,450,LO,NN-only,0.5,
35,1.13972,0.1,16.16071,-15.146,-10.40023,-0.67838,0.5745899999999997,-9.50733105377003,450,LO,NN-only,0.5,
36,1.17651,0.11,17.220879999999998,-16.44867,-10.68766,-0.5659000000000001,0.6886400000000004,-9.836502185316931,450,LO,NN-only,0.5,
