# kf	n	Kin	HF_tot	Scnd_tot	Trd_tot	Fth_tot	total
0.90459	0.05	10.18061	-6.94058	-8.79308	-0.93018	-0.3810199999999999	-6.86425
0.96127	0.06	11.49638	-8.10967	-9.87849	-0.82723	-0.019400000000000972	-7.33841
1.01196	0.07	12.74067	-9.24847	-10.82698	-0.7149600000000002	0.32859000000000016	-7.721150000000001
1.05802	0.08	13.92687	-10.36195	-11.65884	-0.6012599999999999	0.6481399999999988	-8.047040000000003
1.10038	0.09	15.06452	-11.45373	-12.38495	-0.4906400000000001	0.9206799999999999	-8.34412
1.13972	0.1	16.16071	-12.5265	-13.01725	-0.3831199999999999	1.166059999999999	-8.600100000000001
1.17651	0.11	17.22088	-13.58236	-13.56786	-0.28503999999999996	1.3711300000000017	-8.843249999999996
1.21113	0.12	18.24937	-14.62296	-14.04274	-0.1869400000000001	1.542860000000001	-9.060410000000001
1.24388	0.13	19.24964	-15.64962	-14.45306	-0.10182000000000002	1.6756699999999984	-9.279190000000003
1.27499	0.14	20.22456	-16.66346	-14.80332	-0.020159999999999956	1.80537	-9.45701
1.30465	0.15	21.17651	-17.66538	-15.10106	0.05184999999999995	1.8721999999999994	-9.66588
1.33302	0.16	22.10753	-18.65616	-15.35055	0.12109999999999999	1.8988999999999994	-9.87918
1.36023	0.17	23.01934	-19.63646	-15.55542	0.18226999999999993	1.9329099999999988	-10.057360000000001
1.3864	0.18	23.91344	-20.60683	-15.7221	0.23897999999999997	1.9395999999999978	-10.236909999999998
1.41161	0.19	24.79111	-21.56778	-15.85348	0.2885200000000001	1.883140000000001	-10.458489999999998
1.43595	0.2	25.65352	-22.51973	-15.95198	0.33368	1.8890500000000001	-10.59546
1.4595	0.21	26.50167	-23.46305	-16.02147	0.37863	1.8640399999999993	-10.740179999999999
