# kf	n	Kin	HF_tot	Scnd_tot	Trd_tot	Fth_tot	total
1.13972	0.05	16.16071	-6.9872499999999995	-2.4604099999999995	0.31407	-0.06983999999999999	6.957280000000003
1.21113	0.06	18.24937	-7.935779999999999	-2.9459400000000002	0.4085	-0.06309999999999999	7.713049999999999
1.27499	0.07	20.22456	-8.76466	-3.45043	0.49333000000000005	-0.05448000000000003	8.44832
1.33302	0.08	22.10753	-9.47918	-3.9683200000000003	0.5671299999999999	-0.04136000000000006	9.1858
1.3864	0.09	23.91344	-10.08386	-4.4951	0.6309699999999999	-0.025519999999999987	9.939930000000002
1.43595	0.1	25.65352	-10.582650000000001	-5.02465	0.68305	-0.010399999999999965	10.718869999999999
1.48231	0.11	27.33645	-10.97907	-5.5531500000000005	0.72485	0.0028699999999999837	11.531949999999998
1.52593	0.12	28.96906	-11.27647	-6.0764499999999995	0.75962	0.016030000000000044	12.39179
1.56719	0.13	30.55689	-11.47783	-6.590820000000001	0.7831	0.03253000000000006	13.303869999999998
1.60639	0.14	32.10448	-11.586179999999999	-7.09245	0.80107	0.04135999999999995	14.268280000000004
1.64376	0.15	33.61562	-11.60428	-7.58155	0.81017	0.05141000000000007	15.29137
1.6795	0.16	35.09352	-11.534880000000001	-8.05589	0.81544	0.06001999999999996	16.378209999999996
1.71379	0.17	36.54093	-11.380889999999999	-8.51338	0.8157300000000001	0.06833999999999996	17.530730000000005
1.74675	0.18	37.96021	-11.14506	-8.95467	0.81474	0.06927999999999979	18.744499999999995
1.77852	0.19	39.35344	-10.830179999999999	-9.37748	0.7919100000000001	0.07325000000000004	20.01094
1.80919	0.2	40.72243	-10.439079999999999	-9.78613	0.8018999999999998	0.07238999999999984	21.371510000000004
1.83885	0.21	42.06877	-9.974620000000002	-10.17792	0.7860400000000001	0.08029000000000008	22.78256
