# kf	n	Kin	HF_NN	Scnd_NN	Trd_NN_tot	Fth_tot	total
1.13972	0.05	16.16071	-5.5666	-1.93533	0.016189999999999982	-0.03168000000000004	8.64329
1.21113	0.06	18.24937	-6.53108	-2.06096	0.10348999999999997	-0.042710000000000026	9.718110000000001
1.27499	0.07	20.22456	-7.47207	-2.145	0.17956999999999995	-0.054509999999999975	10.73255
1.33302	0.08	22.10753	-8.39215	-2.19485	0.24304000000000003	-0.07415	11.68942
1.3864	0.09	23.91344	-9.29313	-2.21891	0.2968	-0.09425999999999993	12.603940000000001
1.43595	0.1	25.65352	-10.17635	-2.22153	0.33847999999999995	-0.11647999999999997	13.477640000000003
1.48231	0.11	27.33645	-11.04286	-2.20757	0.36954	-0.13398999999999997	14.321570000000001
1.52593	0.12	28.96906	-11.89349	-2.18011	0.39381000000000005	-0.1464	15.14287
1.56719	0.13	30.55689	-12.72891	-2.14252	0.41196999999999995	-0.16110999999999995	15.936319999999995
1.60639	0.14	32.10448	-13.54968	-2.09665	0.4201600000000001	-0.16840000000000002	16.70991
1.64376	0.15	33.61562	-14.35631	-2.04544	0.42375000000000007	-0.18090000000000012	17.456719999999997
1.6795	0.16	35.09352	-15.14921	-1.98944	0.42658000000000007	-0.18441000000000002	18.19704
1.71379	0.17	36.54093	-15.92877	-1.93105	0.42162	-0.17727999999999997	18.925450000000005
1.74675	0.18	37.96021	-16.69534	-1.87027	0.41731999999999997	-0.19222	19.619699999999995
1.77852	0.19	39.35344	-17.44922	-1.80916	0.40973	-0.18627	20.31852
1.80919	0.2	40.72243	-18.19074	-1.74778	0.39783	-0.18891	20.99283
1.83885	0.21	42.06877	-18.92015	-1.68608	0.38659	-0.17417000000000005	21.674960000000002
1.86759	0.22	43.39391	-19.44539	-1.61996	0.37238000000000004	-0.17660000000000003	22.52434
1.89547	0.23	44.69911	-20.13529	-1.56056	0.35973000000000005	-0.17133	23.191659999999995
1.92255	0.24	45.98552	-20.81353	-1.50252	0.34515999999999997	-0.16738000000000003	23.84725
1.94889	0.25	47.25419	-21.48039	-1.44617	0.33236000000000004	-0.16454999999999997	24.495440000000006
1.97453	0.26	48.50605	-22.13611	-1.39139	0.31930000000000003	-0.15844	25.13941
1.99953	0.27	49.74195	-22.78095	-1.33836	0.30622	-0.15506999999999993	25.77379
2.02392	0.28	50.96269	-23.41515	-1.28746	0.29272	-0.14548999999999998	26.407310000000003
2.04773	0.29	52.16898	-24.03893	-1.23842	0.27967000000000003	-0.13924000000000003	27.032059999999994
2.071	0.3	53.36147	-24.65252	-1.19147	0.26731	-0.13681	27.647979999999997
2.09376	0.31	54.54079	-25.25615	-1.14601	0.25544999999999995	-0.13601	28.25807
2.11604	0.32	55.70749	-25.85003	-1.10276	0.24399000000000004	-0.12140000000000001	28.87729
2.13786	0.33	56.86211	-26.43437	-1.06155	0.23206000000000002	-0.11412	29.48413
2.15924	0.34	58.00511	-27.00938	-1.02167	0.22170999999999996	-0.11478999999999999	30.080980000000004
