# kf	n	Kin	HF_tot	Scnd_tot	Trd_tot	Fth_tot	total
1.13972	0.05	16.16071	-7.79485	-1.3988	0.25912999999999997	-0.11644999999999997	7.109740000000001
1.21113	0.06	18.24937	-8.9052	-1.6093399999999998	0.30598999999999993	-0.12880999999999998	7.912009999999999
1.27499	0.07	20.22456	-9.89466	-1.83606	0.34514999999999996	-0.13557000000000002	8.703420000000001
1.33302	0.08	22.10753	-10.76819	-2.07685	0.37792	-0.14340000000000003	9.49701
1.3864	0.09	23.91344	-11.53016	-2.32864	0.40495	-0.14614	10.31345
1.43595	0.1	25.65352	-12.18454	-2.58856	0.42865000000000003	-0.14671000000000003	11.16236
1.48231	0.11	27.33645	-12.7351	-2.85174	0.44767	-0.14845000000000003	12.04883
1.52593	0.12	28.96906	-13.18542	-3.1164599999999996	0.46428	-0.14447	12.986989999999999
1.56719	0.13	30.55689	-13.538979999999999	-3.37905	0.47853999999999997	-0.1452	13.9722
1.60639	0.14	32.10448	-13.799199999999999	-3.6370400000000003	0.49391999999999997	-0.14461000000000002	15.017550000000002
1.64376	0.15	33.61562	-13.96943	-3.8893999999999997	0.5057499999999999	-0.13940999999999998	16.12313
1.6795	0.16	35.09352	-14.052990000000001	-4.13373	0.52033	-0.13849	17.288639999999997
1.71379	0.17	36.54093	-14.053209999999998	-4.36916	0.5341199999999999	-0.13648999999999997	18.516190000000005
1.74675	0.18	37.96021	-13.973389999999998	-4.59338	0.5530400000000001	-0.13832000000000005	19.808159999999997
1.77852	0.19	39.35344	-13.81682	-4.806380000000001	0.57074	-0.13455000000000006	21.16643
1.80919	0.2	40.72243	-13.586780000000001	-5.0088	0.5913700000000001	-0.13291000000000003	22.585310000000003
1.83885	0.21	42.06877	-13.286570000000001	-5.20129	0.6121700000000001	-0.13188999999999995	24.06119
1.86759	0.22	43.39391	-12.67588	-5.34992	0.6229	-0.13163000000000002	25.859379999999998
1.89547	0.23	44.69911	-12.221940000000002	-5.5157300000000005	0.6573199999999999	-0.13100000000000012	27.48775999999999
1.92255	0.24	45.98552	-11.706740000000002	-5.67033	0.6849400000000001	-0.13317	29.16022
1.94889	0.25	47.25419	-11.13355	-5.81472	0.7117899999999999	-0.13260000000000005	30.88511
1.97453	0.26	48.50605	-10.50556	-5.94851	0.7129300000000001	-0.13393000000000005	32.63098
1.99953	0.27	49.74195	-9.82592	-6.07302	0.77369	-0.13619000000000003	34.48051000000001
2.02392	0.28	50.96269	-9.097729999999999	-6.1887	0.8018399999999999	-0.13945000000000007	36.33865
2.04773	0.29	52.16898	-8.324009999999998	-6.2964899999999995	0.83145	-0.14094	38.23899
2.071	0.3	53.36147	-7.507709999999999	-6.39747	0.8874599999999999	-0.14441000000000004	40.19933999999999
2.09376	0.31	54.54079	-6.651710000000001	-6.49103	0.95178	-0.15028999999999998	42.19954
2.11604	0.32	55.70749	-5.758790000000001	-6.57948	0.98675	-0.15433999999999992	44.20163
2.13786	0.33	56.86211	-4.831610000000001	-6.6622200000000005	1.01788	-0.15902	46.227140000000006
2.15924	0.34	58.00511	-3.8727599999999995	-6.73953	1.11103	-0.16430999999999996	48.33954
