# kf	n	Kin	HF_NN	Scnd_NN	Trd_NN_tot	Fth_tot	total
1.13972	0.05	16.16071	-8.41302	-1.1142	0.17538	-0.08557000000000001	6.723300000000002
1.21113	0.06	18.24937	-9.80877	-1.19018	0.20026	-0.09306999999999997	7.357609999999998
1.27499	0.07	20.22456	-11.14357	-1.25897	0.21787	-0.09675	7.94314
1.33302	0.08	22.10753	-12.42341	-1.32147	0.23063	-0.09964999999999999	8.49363
1.3864	0.09	23.91344	-13.65327	-1.37851	0.23883000000000001	-0.09738	9.023110000000003
1.43595	0.1	25.65352	-14.83737	-1.4311	0.24436	-0.09598000000000001	9.53343
1.48231	0.11	27.33645	-15.97937	-1.47903	0.24886999999999998	-0.09171000000000001	10.03521
1.52593	0.12	28.96906	-17.08245	-1.52274	0.24847000000000002	-0.08880999999999997	10.523529999999996
1.56719	0.13	30.55689	-18.14939	-1.56327	0.2499	-0.08694999999999997	11.00718
1.60639	0.14	32.10448	-19.18262	-1.60026	0.24753	-0.08331000000000002	11.48582
1.64376	0.15	33.61562	-20.18428	-1.6346	0.24564999999999998	-0.08359	11.958799999999998
1.6795	0.16	35.09352	-21.15625	-1.66642	0.24292000000000002	-0.07907	12.434699999999998
1.71379	0.17	36.54093	-22.10019	-1.69578	0.2402	-0.07582000000000003	12.909340000000002
1.74675	0.18	37.96021	-23.01752	-1.72277	0.23669	-0.07694	13.379669999999994
1.77852	0.19	39.35344	-23.9095	-1.74829	0.23279999999999998	-0.07207000000000002	13.856379999999996
1.80919	0.2	40.72243	-24.77722	-1.77174	0.22825	-0.07544000000000003	14.326280000000002
1.83885	0.21	42.06877	-25.62166	-1.79327	0.22544	-0.06896999999999998	14.810310000000003
1.86759	0.22	43.39391	-26.20625	-1.804	0.21875	-0.07315999999999998	15.529249999999998
1.89547	0.23	44.69911	-26.98459	-1.8226	0.21499000000000001	-0.07193000000000002	16.034979999999997
1.92255	0.24	45.98552	-27.74116	-1.83962	0.21137	-0.07331000000000001	16.5428
1.94889	0.25	47.25419	-28.47655	-1.85554	0.20727	-0.07310999999999998	17.05626
1.97453	0.26	48.50605	-29.19128	-1.86982	0.20350000000000001	-0.07324999999999998	17.575200000000002
1.99953	0.27	49.74195	-29.8858	-1.88295	0.2002	-0.07483999999999999	18.098560000000003
2.02392	0.28	50.96269	-30.56053	-1.89465	0.1968	-0.07487000000000002	18.629440000000002
2.04773	0.29	52.16898	-31.21582	-1.90501	0.19330999999999998	-0.07656000000000004	19.164899999999996
2.071	0.3	53.36147	-31.852	-1.91418	0.18980999999999998	-0.07618000000000003	19.70892
2.09376	0.31	54.54079	-32.46938	-1.92193	0.18609	-0.07792000000000002	20.25765
2.11604	0.32	55.70749	-33.06824	-1.92798	0.18381	-0.07921000000000003	20.815869999999997
2.13786	0.33	56.86211	-33.64884	-1.93284	0.18030000000000002	-0.08131999999999999	21.37941
2.15924	0.34	58.00511	-34.21143	-1.93625	0.17734	-0.08309000000000004	21.951680000000003
