# kf	n	Kin	HF_NN	Scnd_NN	Trd_NN_tot	Fth_tot	total
1.13972	0.05	16.16071	-7.42381	-1.54218	0.15632000000000001	-0.12266000000000002	7.228380000000002
1.21113	0.06	18.24937	-8.62049	-1.78517	0.23446	-0.15642000000000006	7.9217499999999985
1.27499	0.07	20.22456	-9.7612	-2.03759	0.31528999999999996	-0.18959	8.551469999999998
1.33302	0.08	22.10753	-10.85158	-2.29473	0.39517	-0.21947	9.136920000000002
1.3864	0.09	23.91344	-11.89603	-2.55212	0.47164	-0.24633	9.690600000000002
1.43595	0.1	25.65352	-12.8981	-2.80568	0.54325	-0.26846000000000003	10.224530000000001
1.48231	0.11	27.33645	-13.86075	-3.0521	0.6059000000000001	-0.28442999999999996	10.74507
1.52593	0.12	28.96906	-14.78648	-3.28872	0.66018	-0.29386999999999996	11.26017
1.56719	0.13	30.55689	-15.67747	-3.5136	0.70467	-0.30457	11.76592
1.60639	0.14	32.10448	-16.53566	-3.72494	0.73878	-0.30660000000000004	12.276060000000003
1.64376	0.15	33.61562	-17.36276	-3.92158	0.7637700000000001	-0.31032999999999994	12.784719999999997
1.6795	0.16	35.09352	-18.16031	-4.10254	0.77855	-0.31503999999999993	13.294179999999997
1.71379	0.17	36.54093	-18.92974	-4.26759	0.78653	-0.31251000000000007	13.817620000000005
1.74675	0.18	37.96021	-19.67232	-4.41671	0.7852	-0.3106300000000001	14.345749999999997
1.77852	0.19	39.35344	-20.38927	-4.55025	0.77764	-0.30615000000000003	14.885409999999998
1.80919	0.2	40.72243	-21.08168	-4.66873	0.76612	-0.30451000000000006	15.433630000000004
1.83885	0.21	42.06877	-21.75059	-4.77265	0.7476100000000001	-0.2962799999999999	15.996860000000005
1.86759	0.22	43.39391	-22.18794	-4.84429	0.71934	-0.29122000000000003	16.789799999999996
1.89547	0.23	44.69911	-22.79431	-4.9191	0.6932799999999999	-0.28752999999999995	17.39145
1.92255	0.24	45.98552	-23.37943	-4.98091	0.66411	-0.28467999999999993	18.00461
1.94889	0.25	47.25419	-23.94416	-5.03042	0.63271	-0.2815200000000002	18.6308
1.97453	0.26	48.50605	-24.48929	-5.06808	0.60036	-0.27985000000000027	19.269190000000002
1.99953	0.27	49.74195	-25.01559	-5.09487	0.56636	-0.2757599999999999	19.922090000000004
2.02392	0.28	50.96269	-25.52377	-5.11138	0.53129	-0.27278	20.58605
2.04773	0.29	52.16898	-26.01452	-5.11879	0.49655000000000005	-0.27158999999999994	21.260629999999995
2.071	0.3	53.36147	-26.4885	-5.11663	0.46202999999999994	-0.2678300000000001	21.950539999999997
2.09376	0.31	54.54079	-26.94633	-5.10699	0.4273600000000001	-0.26860000000000006	22.646230000000003
2.11604	0.32	55.70749	-27.38861	-5.09045	0.39387	-0.26910999999999985	23.353189999999998
2.13786	0.33	56.86211	-27.81592	-5.06634	0.36052000000000006	-0.2675000000000002	24.07287
2.15924	0.34	58.00511	-28.2288	-5.03696	0.32847000000000004	-0.26337	24.804450000000003
