# kf	n	Kin	HF_NN	Scnd_NN	Trd_NN_tot	Fth_tot	total
0.90459	0.05	10.18061	-8.28301	-7.58971	-1.26699	-0.43997999999999937	-7.3990800000000005
0.96127	0.06	11.49638	-9.71307	-8.38711	-1.1588	-0.1699200000000003	-7.93252
1.01196	0.07	12.74067	-11.11012	-9.04788	-1.0377299999999998	0.06416999999999984	-8.390889999999999
1.05802	0.08	13.92687	-12.47907	-9.59338	-0.91438	0.27315999999999896	-8.786800000000001
1.10038	0.09	15.06452	-13.82348	-10.03898	-0.7909299999999999	0.42539000000000105	-9.16348
1.13972	0.1	16.16071	-15.146	-10.40023	-0.67838	0.5745899999999997	-9.48931
1.17651	0.11	17.22088	-16.44867	-10.68766	-0.5659000000000001	0.6886400000000004	-9.79271
1.21113	0.12	18.24937	-17.73312	-10.91132	-0.46629999999999994	0.7389099999999997	-10.12246
1.24388	0.13	19.24964	-19.00065	-11.0809	-0.3715499999999998	0.7698800000000015	-10.43358
1.27499	0.14	20.22456	-20.25234	-11.2015	-0.2832300000000001	0.8069400000000009	-10.705569999999998
1.30465	0.15	21.17651	-21.48908	-11.2795	-0.2086699999999999	0.8120400000000005	-10.988700000000001
1.33302	0.16	22.10753	-22.71162	-11.3181	-0.13908999999999994	0.7939999999999996	-11.26728
1.36023	0.17	23.01934	-23.92061	-11.32483	-0.07252000000000014	0.7980300000000007	-11.50059
1.3864	0.18	23.91344	-25.11662	-11.30362	-0.020080000000000098	0.732260000000001	-11.794619999999998
1.41161	0.19	24.79111	-26.30011	-11.25883	0.03381999999999996	0.742490000000001	-11.991519999999998
1.43595	0.2	25.65352	-27.47152	-11.19383	0.0772400000000002	0.6411099999999985	-12.293480000000002
1.4595	0.21	26.50167	-28.63123	-11.10917	0.11856000000000011	0.6367299999999996	-12.483439999999998
1.48231	0.22	27.33645	-29.65108	-10.93721	0.15592000000000006	0.5354399999999999	-12.560480000000002
1.50443	0.23	28.15867	-30.77484	-10.82303	0.18689	0.47406000000000015	-12.77825
1.52593	0.24	28.96906	-31.88723	-10.69644	0.21489999999999998	0.41229999999999967	-12.98741
1.54683	0.25	29.76827	-32.98851	-10.56003	0.23914000000000013	0.3526499999999997	-13.188479999999995
1.56719	0.26	30.55689	-34.07893	-10.41591	0.25899000000000005	0.2924099999999994	-13.38655
1.58703	0.27	31.33547	-35.15871	-10.26656	0.27723	0.2340500000000003	-13.57852
1.60639	0.28	32.10448	-36.22808	-10.11046	0.29057999999999995	0.17822999999999967	-13.765249999999996
1.62529	0.29	32.8644	-37.28723	-9.94979	0.3043	0.12311000000000005	-13.945209999999998
1.64376	0.3	33.61562	-38.33634	-9.78554	0.31535000000000013	0.08486000000000038	-14.106049999999998
1.66182	0.31	34.35855	-39.3756	-9.61906	0.32405000000000006	0.024699999999999278	-14.287359999999998
1.6795	0.32	35.09352	-40.40516	-9.45138	0.32978999999999997	-0.007340000000000124	-14.440570000000005
1.69682	0.33	35.82088	-41.42519	-9.28316	0.3369399999999999	-0.05587999999999971	-14.606409999999999
1.71379	0.34	36.54093	-42.43584	-9.11386	0.33901000000000014	-0.08125999999999989	-14.751019999999997
