# kf	n	Kin	HF_tot	Scnd_tot	Trd_tot	Fth_tot	total
0.90459	0.05	10.18061	-12.20027	-6.2340800000000005	-0.22161999999999996	-0.12492999999999976	-8.60029
0.96127	0.06	11.49638	-13.96126	-6.903980000000001	-0.08628000000000002	-0.006240000000000023	-9.46138
1.01196	0.07	12.74067	-15.53941	-7.5467	-0.03899999999999998	0.07977999999999974	-10.30466
1.05802	0.08	13.92687	-16.94053	-8.18019	-0.07462000000000002	0.1356599999999999	-11.13281
1.10038	0.09	15.06452	-18.16916	-8.81493	-0.18667	0.16403999999999996	-11.942200000000001
1.13972	0.1	16.16071	-19.229039999999998	-9.456620000000001	-0.35280999999999996	0.17763000000000018	-12.700129999999996
1.17651	0.11	17.22088	-20.123420000000003	-10.10737	-0.5690600000000001	0.1727599999999998	-13.406210000000002
1.21113	0.12	18.24937	-20.85523	-10.76728	-0.81774	0.15547999999999984	-14.0354
1.24388	0.13	19.24964	-21.42716	-11.43396	-1.0987999999999998	0.13522000000000034	-14.57506
1.27499	0.14	20.22456	-21.841769999999997	-12.109110000000001	-1.3819599999999999	0.12729000000000013	-14.980989999999997
1.30465	0.15	21.17651	-22.101550000000003	-12.788300000000001	-1.67911	0.1010899999999999	-15.291360000000005
1.33302	0.16	22.10753	-22.2089	-13.47117	-1.9618	0.0746800000000003	-15.45966
1.36023	0.17	23.01934	-22.166230000000002	-14.157399999999999	-2.2525799999999996	0.050470000000000015	-15.506400000000001
1.3864	0.18	23.91344	-21.976	-14.84501	-2.5149099999999995	0.035399999999999876	-15.387079999999997
1.41161	0.19	24.79111	-21.640639999999998	-15.53321	-2.7546500000000003	0.011160000000000059	-15.126229999999998
1.43595	0.2	25.65352	-21.162640000000003	-16.21885	-2.96687	0.006919999999999815	-14.687920000000004
1.4595	0.21	26.50167	-20.544549999999997	-16.90108	-3.1778299999999993	-0.021259999999999835	-14.143049999999997
1.48231	0.22	27.33645	-19.64618	-17.45533	-3.2649299999999997	-0.04064000000000034	-13.070630000000001
1.50443	0.23	28.15867	-18.739939999999997	-18.11906	-3.3902200000000002	-0.058499999999999996	-12.149049999999997
1.52593	0.24	28.96906	-17.700800000000005	-18.78297	-3.490929999999999	-0.07657000000000014	-11.082210000000003
1.54683	0.25	29.76827	-16.531570000000002	-19.44579	-3.5308699999999993	-0.0912799999999998	-9.83124
1.56719	0.26	30.55689	-15.235140000000001	-20.10608	-3.5351300000000005	-0.10984999999999989	-8.429310000000001
1.58703	0.27	31.33547	-13.814460000000004	-20.76647	-3.51815	-0.12580999999999976	-6.889420000000005
1.60639	0.28	32.10448	-12.272559999999999	-21.43101	-3.480619999999999	-0.1450699999999996	-5.2247799999999955
1.62529	0.29	32.8644	-10.612549999999999	-22.09962	-3.3756399999999998	-0.15914000000000006	-3.3825499999999966
1.64376	0.3	33.61562	-8.83755	-22.78167	-3.2931899999999996	-0.1790400000000001	-1.4758299999999984
1.66182	0.31	34.35855	-6.950789999999998	-23.46994	-3.0886100000000005	-0.19730000000000025	0.6519100000000013
1.6795	0.32	35.09352	-4.955549999999995	-24.17945	-2.8979800000000004	-0.22406000000000026	2.836480000000003
1.69682	0.33	35.82088	-2.8551300000000026	-24.91285	-2.637440000000001	-0.24679000000000018	5.16867
1.71379	0.34	36.54093	-0.6528700000000001	-25.67604	-2.3623799999999995	-0.27421000000000006	7.5754300000000026
