# kf	n	Kin	HF_NN	Scnd_NN	Trd_NN_tot	Fth_tot	total
0.90459	0.05	10.18061	-12.73142	-5.465	-0.6114900000000001	-0.19270000000000054	-8.82
0.96127	0.06	11.49638	-14.85326	-5.77156	-0.43703000000000003	-0.11247000000000029	-9.677940000000001
1.01196	0.07	12.74067	-16.88881	-6.00004	-0.28984	-0.07996999999999987	-10.51799
1.05802	0.08	13.92687	-18.84595	-6.17534	-0.16907999999999998	-0.06891000000000003	-11.33241
1.10038	0.09	15.06452	-20.73077	-6.31459	-0.07072999999999999	-0.0622999999999998	-12.11387
1.13972	0.1	16.16071	-22.54812	-6.42807	0.01158999999999999	-0.08144000000000018	-12.88533
1.17651	0.11	17.22088	-24.30201	-6.52383	0.08011	-0.10059000000000018	-13.62544
1.21113	0.12	18.24937	-25.99583	-6.60824	0.13733999999999996	-0.10986999999999991	-14.327230000000004
1.24388	0.13	19.24964	-27.63249	-6.68558	0.18912	-0.125	-15.00431
1.27499	0.14	20.22456	-29.21454	-6.75793	0.23202	-0.1387900000000002	-15.654679999999999
1.30465	0.15	21.17651	-30.74425	-6.82788	0.27087	-0.16000999999999999	-16.284760000000002
1.33302	0.16	22.10753	-32.22364	-6.89581	0.30806	-0.18286999999999987	-16.886730000000004
1.36023	0.17	23.01934	-33.65457	-6.96238	0.3439	-0.20667000000000013	-17.460379999999997
1.3864	0.18	23.91344	-35.03872	-7.02974	0.37664	-0.21440999999999977	-17.99279
1.41161	0.19	24.79111	-36.37764	-7.09691	0.40681	-0.24013000000000018	-18.51676
1.43595	0.2	25.65352	-37.67277	-7.16458	0.43804	-0.25829000000000013	-19.00408
1.4595	0.21	26.50167	-38.92546	-7.23181	0.46653	-0.2865000000000002	-19.47557
1.48231	0.22	27.33645	-40.00343	-7.2615	0.49122	-0.29908999999999986	-19.73635
1.50443	0.23	28.15867	-41.16058	-7.32754	0.5187499999999999	-0.31855999999999995	-20.129260000000002
1.52593	0.24	28.96906	-42.27817	-7.39321	0.5456	-0.33895999999999993	-20.495680000000004
1.54683	0.25	29.76827	-43.35727	-7.45781	0.5717099999999999	-0.35794999999999977	-20.83305
1.56719	0.26	30.55689	-44.39892	-7.52128	0.59688	-0.3783799999999997	-21.14481
1.58703	0.27	31.33547	-45.40408	-7.58385	0.62128	-0.40014000000000016	-21.43132
1.60639	0.28	32.10448	-46.37369	-7.64521	0.64514	-0.41718999999999995	-21.68647
1.62529	0.29	32.8644	-47.30865	-7.70508	0.66778	-0.43852999999999964	-21.920079999999995
1.64376	0.3	33.61562	-48.20982	-7.76277	0.6892699999999999	-0.4575800000000001	-22.12528
1.66182	0.31	34.35855	-49.07803	-7.81843	0.71013	-0.4729300000000001	-22.30071
1.6795	0.32	35.09352	-49.91407	-7.87185	0.7296199999999999	-0.4915100000000001	-22.454290000000007
1.69682	0.33	35.82088	-50.71871	-7.92304	0.7483	-0.5076899999999995	-22.58026
1.71379	0.34	36.54093	-51.4927	-7.97194	0.7659400000000001	-0.5229799999999999	-22.680749999999996
