# kf	n	Kin	HF_NN	Scnd_NN	Trd_NN_tot	Fth_tot	total
0.904594	0.05	10.1806	-12.2751	-6.18198	-0.77517	0.027419999999999778	-9.02423
0.961274	0.06	11.4964	-14.3709	-6.69775	-0.61844	0.23148000000000035	-9.959209999999999
1.01196	0.07	12.7407	-16.3998	-7.11974	-0.47570999999999997	0.3921600000000005	-10.862389999999998
1.05802	0.08	13.9269	-18.3695	-7.4667	-0.34965999999999997	0.49331999999999954	-11.76564
1.10038	0.09	15.0645	-20.286	-7.7546	-0.23880000000000007	0.5840700000000001	-12.63083
1.13972	0.1	16.1607	-22.1542	-7.99426	-0.14162000000000008	0.6064399999999999	-13.522940000000002
1.17651	0.11	17.2209	-23.9781	-8.19636	-0.05793999999999999	0.6508899999999997	-14.360610000000001
1.21113	0.12	18.2494	-25.7612	-8.36607	0.016309999999999936	0.6503099999999999	-15.211249999999998
1.24388	0.13	19.2496	-27.5062	-8.51096	0.07918999999999998	0.65724	-16.031129999999997
1.27499	0.14	20.2246	-29.2159	-8.63614	0.13461999999999996	0.6551400000000001	-16.837680000000002
1.30465	0.15	21.1765	-30.8923	-8.74574	0.18318999999999996	0.6289899999999995	-17.64936
1.33302	0.16	22.1075	-32.5376	-8.84327	0.22715999999999997	0.6075299999999997	-18.438679999999994
1.36023	0.17	23.0193	-34.1534	-8.9322	0.26435	0.5808899999999999	-19.221059999999998
1.3864	0.18	23.9134	-35.7413	-9.01454	0.29804	0.5664900000000006	-19.97791
1.41161	0.19	24.7911	-37.3028	-9.09475	0.32928999999999997	0.5188999999999997	-20.758259999999996
1.43595	0.2	25.6535	-38.839	-9.17364	0.35630000000000006	0.4854299999999996	-21.517409999999995
1.4595	0.21	26.5017	-40.3513	-9.25363	0.38310000000000005	0.45988000000000007	-22.260250000000006
1.48231	0.22	27.33645	-41.84059	-9.33701	0.4062	0.4021499999999998	-23.0328
1.50443	0.23	28.15867	-43.30791	-9.42525	0.42875	0.3687400000000003	-23.776999999999997
1.52593	0.24	28.96906	-44.75412	-9.52103	0.45021000000000005	0.3345200000000004	-24.52136
1.54683	0.25	29.76827	-46.18003	-9.62665	0.4714600000000001	0.30138	-25.265569999999997
1.56719	0.26	30.55689	-47.58638	-9.74194	0.49227999999999994	0.2709999999999999	-26.008149999999997
1.58703	0.27	31.33547	-48.97385	-9.87077	0.51196	0.22766999999999982	-26.76952
1.60639	0.28	32.10448	-50.34309	-10.01417	0.53512	0.18791000000000002	-27.529749999999996
1.62529	0.29	32.8644	-51.69466	-10.17581	0.5585600000000001	0.15717000000000025	-28.290339999999993
1.64376	0.3	33.61562	-53.02911	-10.35675	0.58202	0.10732000000000008	-29.0809
1.66182	0.31	34.35855	-54.34695	-10.56061	0.6093400000000001	0.06831000000000031	-29.87136
1.6795	0.32	35.09352	-55.64863	-10.79049	0.6389999999999999	0.023630000000000262	-30.682969999999997
1.69682	0.33	35.82088	-56.93459	-11.05016	0.67077	-0.029189999999999827	-31.522289999999995
1.71379	0.34	36.54093	-58.20525	-11.34409	0.7069599999999999	-0.08752999999999966	-32.38898
