# kf	n	Kin	HF_NN	Scnd_NN	Trd_NN_tot	Fth_tot	total
0.90459	0.05	10.18061	-12.81462	-4.74672	-1.30065	-0.8045800000000001	-9.48596
0.96127	0.06	11.49638	-14.97166	-4.97324	-1.18733	-0.7066600000000001	-10.342509999999997
1.01196	0.07	12.74067	-17.05276	-5.12534	-1.07706	-0.6259099999999995	-11.140399999999998
1.05802	0.08	13.92687	-19.06668	-5.22216	-0.9734299999999999	-0.5617000000000001	-11.897100000000004
1.10038	0.09	15.06452	-21.0202	-5.27796	-0.87754	-0.51037	-12.62155
1.13972	0.1	16.16071	-22.91868	-5.3027	-0.7901499999999999	-0.46916	-13.319979999999997
1.17651	0.11	17.22088	-24.76656	-5.30417	-0.71011	-0.4315200000000001	-13.991479999999997
1.21113	0.12	18.24937	-26.56754	-5.28771	-0.63857	-0.40361999999999965	-14.648070000000002
1.24388	0.13	19.24964	-28.32477	-5.25767	-0.57304	-0.37892999999999977	-15.284770000000004
1.27499	0.14	20.22456	-30.04098	-5.21684	-0.5141100000000001	-0.3594299999999997	-15.906800000000002
1.30465	0.15	21.17651	-31.71857	-5.16804	-0.46085000000000004	-0.34189	-16.51284
1.33302	0.16	22.10753	-33.35967	-5.11349	-0.41255	-0.32957000000000014	-17.10775
1.36023	0.17	23.01934	-34.96614	-5.05447	-0.36878	-0.31606999999999985	-17.686120000000006
1.3864	0.18	23.91344	-36.53971	-4.99225	-0.32882999999999996	-0.3074499999999998	-18.254799999999996
1.41161	0.19	24.79111	-38.08189	-4.92802	-0.29255	-0.2989900000000003	-18.81034
1.43595	0.2	25.65352	-39.59411	-4.86226	-0.25962	-0.2906099999999998	-19.353080000000002
1.4595	0.21	26.50167	-41.07763	-4.79616	-0.22934000000000002	-0.28483999999999987	-19.8863
