# kf	n	Kin	HF_NN	Scnd_NN	Trd_NN_tot	Fth_tot	total
0.90459	0.05	10.18061	-12.42869	-5.68306	-0.86186	-0.3115699999999999	-9.104569999999999
0.96127	0.06	11.49638	-14.5245	-6.07699	-0.71011	-0.1658900000000001	-9.981110000000001
1.01196	0.07	12.74067	-16.54763	-6.38086	-0.5715699999999999	-0.05683000000000016	-10.816220000000001
1.05802	0.08	13.92687	-18.50644	-6.61597	-0.44824	0.024539999999999118	-11.619240000000001
1.10038	0.09	15.06452	-20.40739	-6.79573	-0.34096	0.08575000000000044	-12.39381
1.13972	0.1	16.16071	-22.25559	-6.93332	-0.24775000000000003	0.12725999999999993	-13.14869
1.17651	0.11	17.22088	-24.05527	-7.03508	-0.16732000000000008	0.15356000000000014	-13.88323
1.21113	0.12	18.24937	-25.80993	-7.10829	-0.09829000000000004	0.16888999999999976	-14.598250000000004
1.24388	0.13	19.24964	-27.5226	-7.15832	-0.03897000000000006	0.17778000000000005	-15.292470000000002
1.27499	0.14	20.22456	-29.19585	-7.18847	0.01168000000000008	0.18196999999999997	-15.96611
1.30465	0.15	21.17651	-30.83198	-7.20297	0.05426000000000003	0.17970999999999981	-16.624470000000002
1.33302	0.16	22.10753	-32.43299	-7.20355	0.09062999999999999	0.17017000000000015	-17.268209999999996
1.36023	0.17	23.01934	-34.00068	-7.19263	0.12108000000000002	0.16113	-17.891760000000005
1.3864	0.18	23.91344	-35.53667	-7.1733	0.14691	0.15065000000000017	-18.498970000000003
1.41161	0.19	24.79111	-37.04243	-7.14569	0.16909999999999997	0.13955000000000006	-19.08836
1.43595	0.2	25.65352	-38.51929	-7.11219	0.18630999999999995	0.12562000000000006	-19.666029999999996
1.4595	0.21	26.50167	-39.96847	-7.07262	0.20117000000000004	0.11573999999999995	-20.222510000000003
