# kf	n	Kin	HF_NN	Scnd_NN	Trd_NN_tot	Fth_tot	total
0.90459	0.05	10.18061	-13.12222	-5.23559	-0.91327	-0.2962699999999998	-9.386740000000001
0.96127	0.06	11.49638	-15.32155	-5.58541	-0.77523	-0.16532000000000058	-10.351130000000001
1.01196	0.07	12.74067	-17.44364	-5.85915	-0.6500699999999999	-0.07256000000000018	-11.284749999999999
1.05802	0.08	13.92687	-19.49851	-6.07559	-0.53789	0.0031200000000004557	-12.182
1.10038	0.09	15.06452	-21.49393	-6.2479	-0.43990999999999997	0.053110000000000435	-13.064109999999998
1.13972	0.1	16.16071	-23.43612	-6.38426	-0.35316	0.08940000000000015	-13.92343
1.17651	0.11	17.22088	-25.33025	-6.49194	-0.27849	0.11140000000000017	-14.768399999999998
1.21113	0.12	18.24937	-27.18062	-6.5765	-0.21284000000000008	0.1288499999999997	-15.591740000000001
1.24388	0.13	19.24964	-28.99093	-6.64207	-0.15581	0.13195999999999986	-16.40721
1.27499	0.14	20.22456	-30.76438	-6.69176	-0.10560000000000003	0.1312399999999998	-17.205940000000002
1.30465	0.15	21.17651	-32.50376	-6.72828	-0.06308999999999998	0.1343099999999997	-17.984309999999997
1.33302	0.16	22.10753	-34.21155	-6.7545	-0.02503999999999995	0.12482000000000015	-18.758740000000003
1.36023	0.17	23.01934	-35.88993	-6.77137	0.00818000000000002	0.11770000000000014	-19.516080000000002
1.3864	0.18	23.91344	-37.54089	-6.77977	0.03654999999999997	0.10789000000000004	-20.262779999999996
1.41161	0.19	24.79111	-39.16619	-6.78185	0.06215999999999999	0.09338999999999986	-21.001380000000005
1.43595	0.2	25.65352	-40.76744	-6.77809	0.08404000000000006	0.08094999999999963	-21.727019999999996
1.4595	0.21	26.50167	-42.34611	-6.76953	0.10367000000000004	0.06637000000000004	-22.44393
