# kf	n	Kin	HF_NN	Scnd_NN	Trd_NN_tot	Fth_tot	total
0.90459	0.05	10.18061	-13.59256	-4.93144	-0.5891200000000001	-0.18640000000000012	-9.118910000000001
0.96127	0.06	11.49638	-15.89718	-5.07285	-0.41419	-0.10634000000000032	-9.99418
1.01196	0.07	12.74067	-18.11764	-5.13394	-0.27376	-0.08462999999999998	-10.869300000000003
1.05802	0.08	13.92687	-20.26158	-5.14113	-0.16575999999999996	-0.0692600000000001	-11.71086
1.10038	0.09	15.06452	-22.33488	-5.11172	-0.08301999999999998	-0.08335999999999988	-12.548459999999999
1.13972	0.1	16.16071	-24.34227	-5.0588	-0.022379999999999983	-0.09254000000000007	-13.355279999999997
1.17651	0.11	17.22088	-26.28763	-4.99014	0.02273	-0.10783000000000009	-14.14199
1.21113	0.12	18.24937	-28.17428	-4.91228	0.05325000000000002	-0.11443000000000014	-14.89837
1.24388	0.13	19.24964	-30.00507	-4.82911	0.07587999999999998	-0.10775000000000001	-15.61641
1.27499	0.14	20.22456	-31.7825	-4.74481	0.09028999999999998	-0.12595000000000023	-16.33841
1.30465	0.15	21.17651	-33.50883	-4.66166	0.10116000000000003	-0.11431000000000002	-17.007130000000004
1.33302	0.16	22.10753	-35.18607	-4.58056	0.10682	-0.1330300000000002	-17.685310000000005
1.36023	0.17	23.01934	-36.81606	-4.50119	0.11020000000000002	-0.13533000000000006	-18.323040000000002
1.3864	0.18	23.91344	-38.40049	-4.42563	0.11251999999999998	-0.12169999999999992	-18.921859999999995
1.41161	0.19	24.79111	-39.94093	-4.35344	0.11187000000000002	-0.11580999999999997	-19.5072
1.43595	0.2	25.65352	-41.43883	-4.28525	0.11044	-0.12416000000000005	-20.08428
1.4595	0.21	26.50167	-42.89555	-4.22029	0.11027000000000002	-0.11002000000000023	-20.61392
