# kf	n	Kin	HF_NN	Scnd_NN	Trd_NN_tot	Fth_tot	total
1.13972	0.05	16.16071	-6.42515	-1.12992	-0.0004099999999999937	-0.010670000000000006	8.594560000000001
1.21113	0.06	18.24937	-7.43756	-1.14717	0.028980000000000006	-0.014619999999999994	9.678999999999998
1.27499	0.07	20.22456	-8.40045	-1.15032	0.05177999999999998	-0.018929999999999995	10.706640000000002
1.33302	0.08	22.10753	-9.31981	-1.14457	0.06923000000000001	-0.02242999999999999	11.68995
1.3864	0.09	23.91344	-10.2003	-1.13269	0.08259999999999998	-0.02604999999999999	12.637
1.43595	0.1	25.65352	-11.04565	-1.11702	0.09280999999999998	-0.029270000000000004	13.55439
1.48231	0.11	27.33645	-11.85892	-1.09891	0.10042	-0.03121000000000001	14.44783
1.52593	0.12	28.96906	-12.6427	-1.07932	0.10628000000000001	-0.03329000000000001	15.320030000000003
1.56719	0.13	30.55689	-13.39919	-1.0591	0.11051	-0.03522999999999999	16.17388
1.60639	0.14	32.10448	-14.1303	-1.03873	0.11349000000000001	-0.03732	17.01162
1.64376	0.15	33.61562	-14.83772	-1.01828	0.11563999999999999	-0.037469999999999996	17.837790000000002
1.6795	0.16	35.09352	-15.52293	-0.99817	0.11705000000000002	-0.03759999999999999	18.65186999999999
1.71379	0.17	36.54093	-16.18724	-0.97833	0.11749000000000001	-0.03847	19.454380000000004
1.74675	0.18	37.96021	-16.83185	-0.95925	0.11757000000000001	-0.03874	20.247939999999996
1.77852	0.19	39.35344	-17.45784	-0.94072	0.11741000000000001	-0.03753000000000001	21.03476
1.80919	0.2	40.72243	-18.06618	-0.92273	0.11708	-0.03911	21.811490000000003
1.83885	0.21	42.06877	-18.65776	-0.90543	0.11603000000000001	-0.03752	22.58409
