# kf	n	Kin	HF_NN	Scnd_NN	Trd_NN_tot	Fth_tot	total
1.13972	0.05	16.16071	-8.26597	-1.01786	0.08866	-0.05368999999999998	6.911850000000003
1.21113	0.06	18.24937	-9.66932	-1.04299	0.10042000000000001	-0.06012000000000001	7.577359999999998
1.27499	0.07	20.22456	-11.02646	-1.05919	0.10690999999999998	-0.06363000000000002	8.182189999999999
1.33302	0.08	22.10753	-12.34248	-1.06892	0.10977999999999999	-0.06523000000000001	8.740680000000001
1.3864	0.09	23.91344	-13.62127	-1.07395	0.11066	-0.06552000000000002	9.26336
1.43595	0.1	25.65352	-14.86596	-1.07536	0.11012999999999998	-0.06450000000000003	9.75783
1.48231	0.11	27.33645	-16.07912	-1.074	0.10884000000000002	-0.06325	10.22892
1.52593	0.12	28.96906	-17.2629	-1.07032	0.10638	-0.06091999999999999	10.6813
1.56719	0.13	30.55689	-18.41916	-1.06477	0.10375	-0.05840000000000001	11.118309999999997
1.60639	0.14	32.10448	-19.54952	-1.05773	0.10080999999999998	-0.05668000000000001	11.541360000000001
1.64376	0.15	33.61562	-20.65541	-1.04941	0.09788000000000002	-0.05452000000000001	11.95416
1.6795	0.16	35.09352	-21.73809	-1.04014	0.09448000000000001	-0.05263	12.357139999999998
1.71379	0.17	36.54093	-22.7987	-1.03002	0.09082	-0.04979	12.753240000000003
1.74675	0.18	37.96021	-23.83828	-1.01932	0.08736000000000001	-0.04809999999999998	13.141869999999995
1.77852	0.19	39.35344	-24.85777	-1.00794	0.08418	-0.04572999999999999	13.52618
1.80919	0.2	40.72243	-25.85804	-0.99601	0.08065	-0.04325	13.905780000000004
1.83885	0.21	42.06877	-26.83987	-0.98388	0.07742	-0.041859999999999994	14.28058
