# kf	n	Kin	HF_NN	Scnd_NN	Trd_NN_tot	Fth_tot	total
1.13972	0.05	16.16071	-8.42513	-0.99257	0.11699000000000001	-0.05965	6.800350000000003
1.21113	0.06	18.24937	-9.84284	-1.03151	0.13374	-0.06579000000000002	7.442969999999999
1.27499	0.07	20.22456	-11.2161	-1.06299	0.14541	-0.06994	8.020939999999998
1.33302	0.08	22.10753	-12.55202	-1.08897	0.15278	-0.07232	8.547
1.3864	0.09	23.91344	-13.85617	-1.11051	0.15744999999999998	-0.07307	9.031140000000002
1.43595	0.1	25.65352	-15.13302	-1.12847	0.16054000000000002	-0.07349	9.47908
1.48231	0.11	27.33645	-16.38625	-1.14334	0.16149	-0.07354999999999999	9.8948
1.52593	0.12	28.96906	-17.61897	-1.15574	0.16159	-0.07315999999999999	10.282779999999999
1.56719	0.13	30.55689	-18.8338	-1.16578	0.16085	-0.07169999999999999	10.64646
1.60639	0.14	32.10448	-20.03297	-1.17408	0.15949999999999998	-0.07185999999999998	10.985070000000004
1.64376	0.15	33.61562	-21.21844	-1.18032	0.15718	-0.07080000000000002	11.303239999999999
1.6795	0.16	35.09352	-22.3919	-1.18525	0.15484000000000003	-0.06936	11.601849999999999
1.71379	0.17	36.54093	-23.55484	-1.1889	0.15219000000000002	-0.06953000000000001	11.879850000000003
1.74675	0.18	37.96021	-24.70856	-1.19137	0.1496	-0.0674	12.142479999999999
1.77852	0.19	39.35344	-25.85422	-1.19292	0.14613	-0.06689	12.385539999999995
1.80919	0.2	40.72243	-26.99286	-1.19348	0.14274	-0.06613	12.612700000000002
1.83885	0.21	42.06877	-28.12538	-1.19322	0.13985999999999998	-0.06467999999999999	12.825350000000002
