# kf	n	Kin	HF_NN	Scnd_NN	Trd_NN_tot	Fth_tot	total
1.13972	0.05	16.16071	-5.5666	-1.93533	0.016189999999999982	-0.03168000000000004	8.64329
1.21113	0.06	18.24937	-6.53108	-2.06096	0.10348999999999997	-0.042710000000000026	9.718110000000001
1.27499	0.07	20.22456	-7.47207	-2.145	0.17956999999999995	-0.054509999999999975	10.73255
1.33302	0.08	22.10753	-8.39215	-2.19485	0.24304000000000003	-0.07415	11.68942
1.3864	0.09	23.91344	-9.29313	-2.21891	0.2968	-0.09425999999999993	12.603940000000001
1.43595	0.1	25.65352	-10.17635	-2.22153	0.33847999999999995	-0.11647999999999997	13.477640000000003
1.48231	0.11	27.33645	-11.04286	-2.20757	0.36954	-0.13398999999999997	14.321570000000001
1.52593	0.12	28.96906	-11.89349	-2.18011	0.39381000000000005	-0.1464	15.14287
1.56719	0.13	30.55689	-12.72891	-2.14252	0.41196999999999995	-0.16110999999999995	15.936319999999995
1.60639	0.14	32.10448	-13.54968	-2.09665	0.4201600000000001	-0.16840000000000002	16.70991
1.64376	0.15	33.61562	-14.35631	-2.04544	0.42375000000000007	-0.18090000000000012	17.456719999999997
1.6795	0.16	35.09352	-15.14921	-1.98944	0.42658000000000007	-0.18441000000000002	18.19704
1.71379	0.17	36.54093	-15.92877	-1.93105	0.42162	-0.17727999999999997	18.925450000000005
1.74675	0.18	37.96021	-16.69534	-1.87027	0.41731999999999997	-0.19222	19.619699999999995
1.77852	0.19	39.35344	-17.44922	-1.80916	0.40973	-0.18627	20.31852
1.80919	0.2	40.72243	-18.19074	-1.74778	0.39783	-0.18891	20.99283
1.83885	0.21	42.06877	-18.92015	-1.68608	0.38659	-0.17417000000000005	21.674960000000002
