#kf	n	Kin	HF_NN	Scnd_NN	Trd_NN_tot	Fth_tot
0.90459	0.05	10.18061	-8.28301	-7.58971	-1.26699	-0.43997999999999937
0.96127	0.06	11.49638	-9.71307	-8.38711	-1.1588	-0.1699200000000003
1.01196	0.07	12.74067	-11.11012	-9.04788	-1.0377299999999998	0.06416999999999984
1.05802	0.08	13.92687	-12.47907	-9.59338	-0.91438	0.27315999999999896
1.10038	0.09	15.06452	-13.82348	-10.03898	-0.7909299999999999	0.42539000000000105
1.13972	0.1	16.16071	-15.146	-10.40023	-0.67838	0.5745899999999997
1.17651	0.11	17.22088	-16.44867	-10.68766	-0.5659000000000001	0.6886400000000004
1.21113	0.12	18.24937	-17.73312	-10.91132	-0.46629999999999994	0.7389099999999997
1.24388	0.13	19.24964	-19.00065	-11.0809	-0.3715499999999998	0.7698800000000015
1.27499	0.14	20.22456	-20.25234	-11.2015	-0.2832300000000001	0.8069400000000009
1.30465	0.15	21.17651	-21.48908	-11.2795	-0.2086699999999999	0.8120400000000005
1.33302	0.16	22.10753	-22.71162	-11.3181	-0.13908999999999994	0.7939999999999996
1.36023	0.17	23.01934	-23.92061	-11.32483	-0.07252000000000014	0.7980300000000007
1.3864	0.18	23.91344	-25.11662	-11.30362	-0.020080000000000098	0.732260000000001
1.41161	0.19	24.79111	-26.30011	-11.25883	0.03381999999999996	0.742490000000001
1.43595	0.2	25.65352	-27.47152	-11.19383	0.0772400000000002	0.6411099999999985
1.4595	0.21	26.50167	-28.63123	-11.10917	0.11856000000000011	0.6367299999999996
