#kf	n	Kin	HF_NN	Scnd_NN	Trd_NN_tot	Fth_tot
0.90459	0.05	10.18061	-12.73142	-5.465	-0.6114900000000001	-0.19270000000000054
0.96127	0.06	11.49638	-14.85326	-5.77156	-0.43703000000000003	-0.11247000000000029
1.01196	0.07	12.74067	-16.88881	-6.00004	-0.28984	-0.07996999999999987
1.05802	0.08	13.92687	-18.84595	-6.17534	-0.16907999999999998	-0.06891000000000003
1.10038	0.09	15.06452	-20.73077	-6.31459	-0.07072999999999999	-0.0622999999999998
1.13972	0.1	16.16071	-22.54812	-6.42807	0.01158999999999999	-0.08144000000000018
1.17651	0.11	17.22088	-24.30201	-6.52383	0.08011	-0.10059000000000018
1.21113	0.12	18.24937	-25.99583	-6.60824	0.13733999999999996	-0.10986999999999991
1.24388	0.13	19.24964	-27.63249	-6.68558	0.18912	-0.125
1.27499	0.14	20.22456	-29.21454	-6.75793	0.23202	-0.1387900000000002
1.30465	0.15	21.17651	-30.74425	-6.82788	0.27087	-0.16000999999999999
1.33302	0.16	22.10753	-32.22364	-6.89581	0.30806	-0.18286999999999987
1.36023	0.17	23.01934	-33.65457	-6.96238	0.3439	-0.20667000000000013
1.3864	0.18	23.91344	-35.03872	-7.02974	0.37664	-0.21440999999999977
1.41161	0.19	24.79111	-36.37764	-7.09691	0.40681	-0.24013000000000018
1.43595	0.2	25.65352	-37.67277	-7.16458	0.43804	-0.25829000000000013
1.4595	0.21	26.50167	-38.92546	-7.23181	0.46653	-0.2865000000000002
