#kf	n	Kin	HF_NN	Scnd_NN	Trd_NN_tot	Fth_tot
1.13972	0.05	16.16071	-7.42381	-1.54218	0.15632000000000001	-0.12266000000000002
1.21113	0.06	18.24937	-8.62049	-1.78517	0.23446	-0.15642000000000006
1.27499	0.07	20.22456	-9.7612	-2.03759	0.31528999999999996	-0.18959
1.33302	0.08	22.10753	-10.85158	-2.29473	0.39517	-0.21947
1.3864	0.09	23.91344	-11.89603	-2.55212	0.47164	-0.24633
1.43595	0.1	25.65352	-12.8981	-2.80568	0.54325	-0.26846000000000003
1.48231	0.11	27.33645	-13.86075	-3.0521	0.6059000000000001	-0.28442999999999996
1.52593	0.12	28.96906	-14.78648	-3.28872	0.66018	-0.29386999999999996
1.56719	0.13	30.55689	-15.67747	-3.5136	0.70467	-0.30457
1.60639	0.14	32.10448	-16.53566	-3.72494	0.73878	-0.30660000000000004
1.64376	0.15	33.61562	-17.36276	-3.92158	0.7637700000000001	-0.31032999999999994
1.6795	0.16	35.09352	-18.16031	-4.10254	0.77855	-0.31503999999999993
1.71379	0.17	36.54093	-18.92974	-4.26759	0.78653	-0.31251000000000007
1.74675	0.18	37.96021	-19.67232	-4.41671	0.7852	-0.3106300000000001
1.77852	0.19	39.35344	-20.38927	-4.55025	0.77764	-0.30615000000000003
1.80919	0.2	40.72243	-21.08168	-4.66873	0.76612	-0.30451000000000006
1.83885	0.21	42.06877	-21.75059	-4.77265	0.7476100000000001	-0.2962799999999999
